Team,Season,League,Games Played,Home Wins,Home Draws,Home Losses,Home Goals Scored,Home Goals Conceded,Away Wins,Away Draws,Away Losses,Away Goals Scored,Away Goals Conceded,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference,League Position,Promoted,Relegated,prev_season_points,prev_season_league,prev_season_position,prev_season_gd,promoted_from_championship
Crystal Palace,2020/2021,Premier League,38,6,5,8,20,32,6,3,10,21,34,12,8,18,41,66,44,-25,14.0,0,0,0.0,N/A,0.0,0.0,False
Derby,2020/2021,Championship,46,6,7,10,20,26,5,4,14,16,32,11,11,24,36,58,44,-22,22.0,0,0,0.0,N/A,0.0,0.0,False
Southampton,2020/2021,Premier League,38,8,3,8,28,25,4,4,11,19,43,12,7,19,47,68,43,-21,15.0,0,0,0.0,N/A,0.0,0.0,False
Wycombe,2020/2021,Championship,46,7,5,11,17,28,4,5,14,22,41,11,10,25,39,69,43,-30,23.0,0,0,0.0,N/A,0.0,0.0,False
Rotherham,2020/2021,Championship,46,5,4,14,26,35,6,5,12,18,25,11,9,26,44,60,42,-16,24.0,0,0,0.0,N/A,0.0,0.0,False
Brighton,2020/2021,Premier League,38,4,9,6,22,22,5,5,9,18,24,9,14,15,40,46,41,-6,16.0,0,0,0.0,N/A,0.0,0.0,False
Burnley,2020/2021,Premier League,38,4,6,9,14,27,6,3,10,19,28,10,9,19,33,55,39,-22,17.0,0,0,0.0,N/A,0.0,0.0,False
Fulham,2020/2021,Premier League,38,2,4,13,9,28,3,9,7,18,25,5,13,20,27,53,28,-26,18.0,0,0,0.0,N/A,0.0,0.0,False
West Brom,2020/2021,Premier League,38,3,6,10,15,39,2,5,12,20,37,5,11,22,35,76,26,-41,19.0,0,0,0.0,N/A,0.0,0.0,False
Sheffield United,2020/2021,Premier League,38,5,1,13,12,27,2,1,16,8,36,7,2,29,20,63,23,-43,20.0,0,0,0.0,N/A,0.0,0.0,False
Man City,2021/2022,Premier League,38,15,2,2,58,15,14,4,1,41,11,29,6,3,99,26,93,73,1.0,0,0,86.0,Premier League,1.0,51.0,False
Liverpool,2021/2022,Premier League,38,15,4,0,49,9,13,4,2,45,17,28,8,2,94,26,92,68,2.0,0,0,69.0,Premier League,3.0,26.0,False
Fulham,2021/2022,Championship,46,14,4,5,56,20,13,5,5,50,23,27,9,10,106,43,90,63,1.0,0,1,28.0,Premier League,18.0,-26.0,False
Bournemouth,2021/2022,Championship,46,13,7,3,41,21,12,6,5,33,18,25,13,8,74,39,88,35,2.0,0,0,77.0,Championship,6.0,27.0,False
Huddersfield,2021/2022,Championship,47,13,6,5,35,24,10,7,6,29,24,23,13,11,64,48,82,16,3.0,0,0,49.0,Championship,20.0,-21.0,False
Nott'm Forest,2021/2022,Championship,46,13,4,6,43,22,10,7,6,30,18,23,11,12,73,40,80,33,4.0,0,0,52.0,Championship,17.0,-8.0,False
Luton,2021/2022,Championship,47,12,8,4,37,22,9,5,9,26,33,21,13,13,63,55,76,8,5.0,0,0,62.0,Championship,11.0,-11.0,False
Sheffield United,2021/2022,Championship,46,13,5,5,38,15,8,7,8,25,30,21,12,13,63,45,75,18,6.0,0,1,23.0,Premier League,20.0,-43.0,False
Chelsea,2021/2022,Premier League,38,9,7,3,37,22,12,4,3,39,11,21,11,6,76,33,74,43,3.0,0,0,67.0,Premier League,4.0,22.0,False
Blackburn,2021/2022,Championship,47,13,5,6,37,26,7,7,9,23,24,20,12,15,60,50,72,10,7.0,0,0,57.0,Championship,15.0,11.0,False
Millwall,2021/2022,Championship,47,14,6,4,34,16,5,9,9,21,29,19,15,13,55,45,72,10,7.0,0,0,62.0,Championship,11.0,-5.0,False
Tottenham,2021/2022,Premier League,38,13,1,5,38,19,9,4,6,31,21,22,5,11,69,40,71,29,4.0,0,0,62.0,Premier League,7.0,23.0,False
Middlesbrough,2021/2022,Championship,47,14,3,7,35,22,6,8,9,25,29,20,11,16,60,51,71,9,9.0,0,0,64.0,Championship,10.0,2.0,False
